-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.84%     178.985us         6.40%       1.361ms      85.039us       0.000us         0.00%       7.709ms     481.801us            16  
                                   ConvolutionBackward0         0.21%      43.729us         5.56%       1.182ms      73.853us       0.000us         0.00%       7.709ms     481.801us            16  
                             aten::convolution_backward         2.34%     497.379us         5.35%       1.138ms      71.120us       6.464ms        29.51%       7.709ms     481.801us            16  
                                           aten::conv2d         0.08%      16.720us         3.01%     640.337us      40.021us       0.000us         0.00%       6.458ms     403.627us            16  
                                      aten::convolution         0.31%      66.429us         2.93%     623.617us      38.976us       0.000us         0.00%       6.458ms     403.627us            16  
                                     aten::_convolution         0.22%      47.720us         2.62%     557.188us      34.824us       0.000us         0.00%       6.458ms     403.627us            16  
                                aten::cudnn_convolution         1.43%     304.083us         2.40%     509.468us      31.842us       6.458ms        29.49%       6.458ms     403.627us            16  
                                            aten::copy_         2.44%     519.722us        74.49%      15.836ms     101.513us       4.017ms        18.34%       4.022ms      25.780us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.489ms        15.93%       3.489ms      53.671us            65  
                                            aten::clone         1.24%     263.294us         9.66%       2.053ms      14.769us       0.000us         0.00%       2.608ms      18.763us           139  
                                       aten::contiguous         0.12%      26.549us         3.47%     737.006us      15.354us       0.000us         0.00%       2.242ms      46.710us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.851ms         8.45%       1.851ms     462.647us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.617ms         7.38%       1.617ms     404.207us             4  
                                               aten::to         0.12%      24.880us        68.86%      14.638ms     770.417us       0.000us         0.00%       1.414ms      74.403us            19  
                                         aten::_to_copy         0.21%      44.398us        68.74%      14.613ms     859.591us       0.000us         0.00%       1.414ms      83.157us            17  
                                              aten::add         1.18%     251.813us         1.87%     397.259us      13.242us       1.383ms         6.31%       1.383ms      46.087us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.319ms         6.02%       1.319ms     329.727us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.309ms         5.98%       1.309ms     436.329us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.287ms         5.88%       1.287ms      24.757us            52  
