-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.67%     150.695us         5.53%       1.253ms      78.299us       0.000us         0.00%       8.285ms     517.805us            16  
                                   ConvolutionBackward0         0.15%      34.660us         4.86%       1.102ms      68.881us       0.000us         0.00%       8.285ms     517.805us            16  
                             aten::convolution_backward         2.02%     456.750us         4.71%       1.067ms      66.714us       6.947ms        29.77%       8.285ms     517.805us            16  
                                           aten::conv2d         0.07%      16.410us         2.81%     636.614us      39.788us       0.000us         0.00%       6.995ms     437.191us            16  
                                      aten::convolution         0.28%      64.037us         2.74%     620.204us      38.763us       0.000us         0.00%       6.995ms     437.191us            16  
                                     aten::_convolution         0.21%      47.598us         2.45%     556.167us      34.760us       0.000us         0.00%       6.995ms     437.191us            16  
                                aten::cudnn_convolution         1.35%     305.883us         2.24%     508.569us      31.786us       6.995ms        29.98%       6.995ms     437.191us            16  
                                            aten::copy_         2.28%     515.980us        77.54%      17.567ms     112.611us       4.264ms        18.27%       4.268ms      27.361us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.728ms        15.97%       3.728ms      57.348us            65  
                                            aten::clone         1.14%     257.584us         8.19%       1.855ms      13.344us       0.000us         0.00%       2.763ms      19.881us           139  
                                       aten::contiguous         0.12%      26.600us         3.22%     730.582us      15.220us       0.000us         0.00%       2.388ms      49.743us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.944ms         8.33%       1.944ms     486.023us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.774ms         7.60%       1.774ms     443.439us             4  
                                               aten::to         0.10%      22.890us        72.84%      16.503ms     868.593us       0.000us         0.00%       1.505ms      79.201us            19  
                                         aten::_to_copy         0.18%      40.510us        72.74%      16.480ms     969.434us       0.000us         0.00%       1.505ms      88.519us            17  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.447ms         6.20%       1.447ms     361.640us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.436ms         6.15%       1.436ms     478.687us             3  
                                              aten::add         1.09%     247.913us         1.71%     386.442us      12.881us       1.400ms         6.00%       1.400ms      46.655us            30  
