-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.65%     141.106us         5.14%       1.109ms      69.339us       0.000us         0.00%       7.735ms     483.464us            16  
                                   ConvolutionBackward0         0.17%      37.340us         4.49%     968.321us      60.520us       0.000us         0.00%       7.735ms     483.464us            16  
                             aten::convolution_backward         1.86%     400.531us         4.31%     930.981us      58.186us       6.489ms        29.52%       7.735ms     483.464us            16  
                                           aten::conv2d         0.08%      16.829us         3.18%     686.647us      42.915us       0.000us         0.00%       6.502ms     406.392us            16  
                                      aten::convolution         0.33%      70.439us         3.10%     669.818us      41.864us       0.000us         0.00%       6.502ms     406.392us            16  
                                     aten::_convolution         0.23%      50.569us         2.78%     599.379us      37.461us       0.000us         0.00%       6.502ms     406.392us            16  
                                aten::cudnn_convolution         1.56%     336.244us         2.54%     548.810us      34.301us       6.502ms        29.58%       6.502ms     406.392us            16  
                                            aten::copy_         2.34%     504.358us        76.17%      16.441ms     105.390us       4.028ms        18.32%       4.033ms      25.852us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.498ms        15.91%       3.498ms      53.822us            65  
                                            aten::clone         1.32%     284.536us         9.86%       2.128ms      15.311us       0.000us         0.00%       2.616ms      18.817us           139  
                                       aten::contiguous         0.12%      26.630us         3.49%     753.883us      15.706us       0.000us         0.00%       2.251ms      46.889us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.853ms         8.43%       1.853ms     463.144us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.624ms         7.39%       1.624ms     406.040us             4  
                                               aten::to         0.10%      20.920us        70.35%      15.184ms     799.136us       0.000us         0.00%       1.417ms      74.594us            19  
                                         aten::_to_copy         0.16%      35.340us        70.25%      15.163ms     891.922us       0.000us         0.00%       1.417ms      83.369us            17  
                                              aten::add         1.22%     262.935us         1.84%     396.662us      13.222us       1.379ms         6.27%       1.379ms      45.964us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.330ms         6.05%       1.330ms     332.472us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.320ms         6.00%       1.320ms     440.032us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.287ms         5.85%       1.287ms      24.754us            52  
