-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.66%     143.808us         5.70%       1.235ms      77.204us       0.000us         0.00%       7.829ms     489.283us            16  
                                   ConvolutionBackward0         0.16%      34.730us         5.04%       1.091ms      68.216us       0.000us         0.00%       7.829ms     489.283us            16  
                             aten::convolution_backward         2.11%     456.809us         4.88%       1.057ms      66.045us       6.566ms        29.57%       7.829ms     489.283us            16  
                                           aten::conv2d         0.08%      16.330us         2.93%     635.636us      39.727us       0.000us         0.00%       6.575ms     410.958us            16  
                                      aten::convolution         0.29%      63.115us         2.86%     619.306us      38.707us       0.000us         0.00%       6.575ms     410.958us            16  
                                     aten::_convolution         0.22%      47.330us         2.57%     556.191us      34.762us       0.000us         0.00%       6.575ms     410.958us            16  
                                aten::cudnn_convolution         1.41%     306.525us         2.35%     508.861us      31.804us       6.575ms        29.61%       6.575ms     410.958us            16  
                                            aten::copy_         2.36%     511.510us        76.76%      16.630ms     106.600us       4.074ms        18.35%       4.079ms      26.145us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.544ms        15.96%       3.544ms      54.516us            65  
                                            aten::clone         1.16%     250.536us         9.31%       2.017ms      14.510us       0.000us         0.00%       2.646ms      19.035us           139  
                                       aten::contiguous         0.12%      26.080us         3.38%     731.934us      15.249us       0.000us         0.00%       2.279ms      47.479us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.876ms         8.45%       1.876ms     469.111us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.646ms         7.41%       1.646ms     411.615us             4  
                                               aten::to         0.11%      22.999us        71.01%      15.382ms     809.581us       0.000us         0.00%       1.433ms      75.410us            19  
                                         aten::_to_copy         0.18%      39.919us        70.90%      15.359ms     903.472us       0.000us         0.00%       1.433ms      84.282us            17  
                                              aten::add         1.14%     246.843us         1.78%     384.911us      12.830us       1.380ms         6.21%       1.380ms      45.999us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.344ms         6.05%       1.344ms     336.048us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.332ms         6.00%       1.332ms     444.117us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.290ms         5.81%       1.290ms      24.806us            52  
