-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.72%     156.866us         5.62%       1.231ms      76.935us       0.000us         0.00%       7.709ms     481.808us            16  
                                   ConvolutionBackward0         0.19%      42.509us         4.90%       1.074ms      67.131us       0.000us         0.00%       7.709ms     481.808us            16  
                             aten::convolution_backward         1.94%     424.742us         4.71%       1.032ms      64.474us       6.464ms        29.38%       7.709ms     481.808us            16  
                                           aten::conv2d         0.08%      16.529us         2.99%     655.156us      40.947us       0.000us         0.00%       6.497ms     406.048us            16  
                                      aten::convolution         0.32%      70.139us         2.92%     638.627us      39.914us       0.000us         0.00%       6.497ms     406.048us            16  
                                     aten::_convolution         0.22%      47.910us         2.59%     568.488us      35.530us       0.000us         0.00%       6.497ms     406.048us            16  
                                aten::cudnn_convolution         1.44%     315.513us         2.38%     520.578us      32.536us       6.497ms        29.53%       6.497ms     406.048us            16  
                                            aten::copy_         2.30%     503.189us        76.10%      16.671ms     106.865us       4.042ms        18.37%       4.047ms      25.943us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.512ms        15.96%       3.512ms      54.036us            65  
                                            aten::clone         1.21%     264.404us         9.44%       2.068ms      14.877us       0.000us         0.00%       2.631ms      18.927us           139  
                                       aten::contiguous         0.12%      26.480us         3.41%     748.033us      15.584us       0.000us         0.00%       2.266ms      47.200us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.850ms         8.41%       1.850ms     462.584us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.618ms         7.36%       1.618ms     404.624us             4  
                                               aten::to         0.09%      20.620us        70.54%      15.453ms     813.300us       0.000us         0.00%       1.416ms      74.541us            19  
                                         aten::_to_copy         0.18%      38.550us        70.44%      15.432ms     907.770us       0.000us         0.00%       1.416ms      83.311us            17  
                                              aten::add         1.09%     238.834us         1.70%     373.061us      12.435us       1.392ms         6.33%       1.392ms      46.404us            30  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.320ms         6.00%       1.320ms     440.021us             3  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.319ms         5.99%       1.319ms     329.648us             4  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.293ms         5.88%       1.293ms      24.868us            52  
