-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.50%     109.348us         4.32%     938.661us      58.666us       0.000us         0.00%       7.746ms     484.118us            16  
                                   ConvolutionBackward0         0.12%      25.660us         3.82%     829.313us      51.832us       0.000us         0.00%       7.746ms     484.118us            16  
                             aten::convolution_backward         1.55%     337.162us         3.70%     803.653us      50.228us       6.495ms        29.52%       7.746ms     484.118us            16  
                                           aten::conv2d         0.08%      16.920us         3.01%     654.948us      40.934us       0.000us         0.00%       6.502ms     406.358us            16  
                                      aten::convolution         0.34%      73.817us         2.94%     638.028us      39.877us       0.000us         0.00%       6.502ms     406.358us            16  
                                     aten::_convolution         0.22%      47.700us         2.60%     564.211us      35.263us       0.000us         0.00%       6.502ms     406.358us            16  
                                aten::cudnn_convolution         1.42%     308.484us         2.38%     516.511us      32.282us       6.502ms        29.55%       6.502ms     406.358us            16  
                                            aten::copy_         2.22%     481.869us        79.20%      17.207ms     110.303us       4.031ms        18.32%       4.035ms      25.868us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.501ms        15.91%       3.501ms      53.860us            65  
                                            aten::clone         1.19%     257.667us         9.38%       2.038ms      14.665us       0.000us         0.00%       2.615ms      18.813us           139  
                                       aten::contiguous         0.12%      26.410us         3.42%     742.172us      15.462us       0.000us         0.00%       2.248ms      46.841us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.852ms         8.42%       1.852ms     463.071us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.630ms         7.41%       1.630ms     407.520us             4  
                                               aten::to         0.08%      17.489us        73.37%      15.940ms     838.929us       0.000us         0.00%       1.420ms      74.760us            19  
                                         aten::_to_copy         0.14%      30.590us        73.29%      15.922ms     936.598us       0.000us         0.00%       1.420ms      83.556us            17  
                                              aten::add         1.06%     230.982us         1.66%     359.782us      11.993us       1.381ms         6.27%       1.381ms      46.017us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.329ms         6.04%       1.329ms     332.336us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.321ms         6.00%       1.321ms     440.256us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.286ms         5.85%       1.286ms      24.737us            52  
