-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.76%     164.998us         6.04%       1.306ms      81.630us       0.000us         0.00%       7.832ms     489.495us            16  
                                   ConvolutionBackward0         0.18%      39.560us         5.28%       1.141ms      71.318us       0.000us         0.00%       7.832ms     489.495us            16  
                             aten::convolution_backward         2.20%     476.048us         5.10%       1.102ms      68.845us       6.566ms        29.60%       7.832ms     489.495us            16  
                                           aten::conv2d         0.08%      16.560us         2.97%     641.986us      40.124us       0.000us         0.00%       6.559ms     409.957us            16  
                                      aten::convolution         0.30%      64.257us         2.89%     625.426us      39.089us       0.000us         0.00%       6.559ms     409.957us            16  
                                     aten::_convolution         0.22%      47.378us         2.60%     561.169us      35.073us       0.000us         0.00%       6.559ms     409.957us            16  
                                aten::cudnn_convolution         1.42%     306.823us         2.38%     513.791us      32.112us       6.559ms        29.57%       6.559ms     409.957us            16  
                                            aten::copy_         2.39%     516.900us        75.94%      16.416ms     105.233us       4.071ms        18.35%       4.076ms      26.127us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.542ms        15.97%       3.542ms      54.498us            65  
                                            aten::clone         1.19%     256.602us         9.44%       2.041ms      14.686us       0.000us         0.00%       2.645ms      19.025us           139  
                                       aten::contiguous         0.13%      27.518us         3.43%     742.063us      15.460us       0.000us         0.00%       2.275ms      47.400us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.878ms         8.47%       1.878ms     469.623us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.647ms         7.42%       1.647ms     411.703us             4  
                                               aten::to         0.11%      23.520us        70.22%      15.181ms     798.998us       0.000us         0.00%       1.431ms      75.329us            19  
                                         aten::_to_copy         0.19%      41.540us        70.11%      15.157ms     891.614us       0.000us         0.00%       1.431ms      84.192us            17  
                                              aten::add         1.15%     247.564us         1.82%     392.680us      13.089us       1.378ms         6.21%       1.378ms      45.947us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.344ms         6.06%       1.344ms     336.088us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.334ms         6.01%       1.334ms     444.746us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.291ms         5.82%       1.291ms      24.827us            52  
