-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.66%     143.495us         5.70%       1.241ms      77.567us       0.000us         0.00%       7.844ms     490.239us            16  
                                   ConvolutionBackward0         0.16%      34.630us         5.04%       1.098ms      68.598us       0.000us         0.00%       7.844ms     490.239us            16  
                             aten::convolution_backward         2.10%     456.501us         4.88%       1.063ms      66.434us       6.574ms        29.49%       7.844ms     490.239us            16  
                                           aten::conv2d         0.08%      16.589us         2.92%     636.465us      39.779us       0.000us         0.00%       6.581ms     411.332us            16  
                                      aten::convolution         0.30%      65.209us         2.85%     619.876us      38.742us       0.000us         0.00%       6.581ms     411.332us            16  
                                     aten::_convolution         0.22%      47.388us         2.55%     554.667us      34.667us       0.000us         0.00%       6.581ms     411.332us            16  
                                aten::cudnn_convolution         1.40%     305.544us         2.33%     507.279us      31.705us       6.581ms        29.52%       6.581ms     411.332us            16  
                                            aten::copy_         2.35%     511.263us        76.62%      16.687ms     106.966us       4.096ms        18.37%       4.101ms      26.288us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.563ms        15.98%       3.563ms      54.814us            65  
                                            aten::clone         1.17%     254.304us         9.36%       2.039ms      14.670us       0.000us         0.00%       2.661ms      19.146us           139  
                                       aten::contiguous         0.12%      26.580us         3.42%     745.623us      15.534us       0.000us         0.00%       2.292ms      47.748us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.887ms         8.46%       1.887ms     471.751us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.647ms         7.39%       1.647ms     411.816us             4  
                                               aten::to         0.10%      22.830us        70.97%      15.457ms     813.504us       0.000us         0.00%       1.440ms      75.771us            19  
                                         aten::_to_copy         0.19%      41.159us        70.87%      15.434ms     907.867us       0.000us         0.00%       1.440ms      84.685us            17  
                                              aten::add         1.14%     248.924us         1.78%     387.761us      12.925us       1.401ms         6.29%       1.401ms      46.714us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.344ms         6.03%       1.344ms     335.984us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.335ms         5.99%       1.335ms     445.120us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.289ms         5.78%       1.289ms      24.785us            52  
