-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.61%     131.729us         5.36%       1.156ms      72.251us       0.000us         0.00%       7.763ms     485.157us            16  
                                   ConvolutionBackward0         0.15%      31.728us         4.75%       1.024ms      64.018us       0.000us         0.00%       7.763ms     485.157us            16  
                             aten::convolution_backward         1.96%     421.871us         4.60%     992.559us      62.035us       6.514ms        29.60%       7.763ms     485.157us            16  
                                           aten::conv2d         0.07%      16.100us         2.92%     629.718us      39.357us       0.000us         0.00%       6.498ms     406.102us            16  
                                      aten::convolution         0.30%      64.038us         2.84%     613.618us      38.351us       0.000us         0.00%       6.498ms     406.102us            16  
                                     aten::_convolution         0.22%      46.840us         2.55%     549.580us      34.349us       0.000us         0.00%       6.498ms     406.102us            16  
                                aten::cudnn_convolution         1.40%     301.086us         2.33%     502.740us      31.421us       6.498ms        29.52%       6.498ms     406.102us            16  
                                            aten::copy_         2.38%     513.389us        77.45%      16.710ms     107.114us       4.027ms        18.30%       4.032ms      25.846us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.498ms        15.89%       3.498ms      53.813us            65  
                                            aten::clone         1.16%     251.237us         9.41%       2.031ms      14.609us       0.000us         0.00%       2.614ms      18.807us           139  
                                       aten::contiguous         0.12%      26.430us         3.43%     740.373us      15.424us       0.000us         0.00%       2.248ms      46.827us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.863ms         8.46%       1.863ms     465.655us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.632ms         7.41%       1.632ms     407.919us             4  
                                               aten::to         0.10%      21.098us        71.68%      15.464ms     813.873us       0.000us         0.00%       1.418ms      74.626us            19  
                                         aten::_to_copy         0.17%      37.659us        71.58%      15.442ms     908.382us       0.000us         0.00%       1.418ms      83.405us            17  
                                              aten::add         1.12%     242.045us         1.74%     375.093us      12.503us       1.382ms         6.28%       1.382ms      46.067us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.329ms         6.04%       1.329ms     332.360us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.321ms         6.00%       1.321ms     440.266us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.291ms         5.86%       1.291ms      24.820us            52  
