-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.61%     134.769us         5.26%       1.159ms      72.426us       0.000us         0.00%       7.751ms     484.461us            16  
                                   ConvolutionBackward0         0.15%      32.848us         4.65%       1.024ms      64.003us       0.000us         0.00%       7.751ms     484.461us            16  
                             aten::convolution_backward         1.92%     421.901us         4.50%     991.200us      61.950us       6.499ms        29.40%       7.751ms     484.461us            16  
                                           aten::conv2d         0.07%      15.840us         2.90%     637.977us      39.874us       0.000us         0.00%       6.537ms     408.541us            16  
                                      aten::convolution         0.29%      63.249us         2.82%     622.137us      38.884us       0.000us         0.00%       6.537ms     408.541us            16  
                                     aten::_convolution         0.21%      46.989us         2.54%     558.888us      34.930us       0.000us         0.00%       6.537ms     408.541us            16  
                                aten::cudnn_convolution         1.39%     306.372us         2.32%     511.899us      31.994us       6.537ms        29.57%       6.537ms     408.541us            16  
                                            aten::copy_         2.30%     507.227us        77.67%      17.108ms     109.667us       4.053ms        18.34%       4.058ms      26.015us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.526ms        15.95%       3.526ms      54.245us            65  
                                            aten::clone         1.15%     253.537us         9.17%       2.020ms      14.535us       0.000us         0.00%       2.639ms      18.984us           139  
                                       aten::contiguous         0.12%      26.129us         3.35%     737.944us      15.374us       0.000us         0.00%       2.272ms      47.333us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.852ms         8.38%       1.852ms     463.055us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.632ms         7.38%       1.632ms     407.887us             4  
                                               aten::to         0.10%      22.069us        72.13%      15.888ms     836.212us       0.000us         0.00%       1.419ms      74.710us            19  
                                         aten::_to_copy         0.18%      38.590us        72.03%      15.866ms     933.292us       0.000us         0.00%       1.419ms      83.499us            17  
                                              aten::add         1.10%     241.326us         1.71%     377.216us      12.574us       1.395ms         6.31%       1.395ms      46.516us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.330ms         6.01%       1.330ms     332.400us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.327ms         6.00%       1.327ms     442.400us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.296ms         5.86%       1.296ms      24.922us            52  
