-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.62%     136.086us         5.33%       1.168ms      72.990us       0.000us         0.00%       7.755ms     484.671us            16  
                                   ConvolutionBackward0         0.15%      32.570us         4.71%       1.032ms      64.485us       0.000us         0.00%       7.755ms     484.671us            16  
                             aten::convolution_backward         1.94%     425.283us         4.56%     999.191us      62.449us       6.507ms        29.52%       7.755ms     484.671us            16  
                                           aten::conv2d         0.08%      16.429us         2.92%     639.714us      39.982us       0.000us         0.00%       6.513ms     407.036us            16  
                                      aten::convolution         0.29%      63.639us         2.85%     623.285us      38.955us       0.000us         0.00%       6.513ms     407.036us            16  
                                     aten::_convolution         0.22%      47.449us         2.56%     559.646us      34.978us       0.000us         0.00%       6.513ms     407.036us            16  
                                aten::cudnn_convolution         1.40%     306.290us         2.34%     512.197us      32.012us       6.513ms        29.55%       6.513ms     407.036us            16  
                                            aten::copy_         2.34%     512.448us        77.41%      16.947ms     108.632us       4.033ms        18.30%       4.038ms      25.882us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.503ms        15.89%       3.503ms      53.892us            65  
                                            aten::clone         1.17%     255.434us        10.82%       2.368ms      17.035us       0.000us         0.00%       2.620ms      18.848us           139  
                                       aten::contiguous         0.12%      26.649us         3.36%     736.194us      15.337us       0.000us         0.00%       2.253ms      46.945us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.858ms         8.43%       1.858ms     464.552us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.629ms         7.39%       1.629ms     407.272us             4  
                                               aten::to         0.10%      21.530us        70.16%      15.359ms     808.383us       0.000us         0.00%       1.418ms      74.619us            19  
                                         aten::_to_copy         0.18%      38.639us        70.06%      15.338ms     902.221us       0.000us         0.00%       1.418ms      83.397us            17  
                                              aten::add         1.11%     243.916us         1.73%     379.626us      12.654us       1.393ms         6.32%       1.393ms      46.442us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.333ms         6.05%       1.333ms     333.152us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.323ms         6.00%       1.323ms     441.045us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.288ms         5.85%       1.288ms      24.778us            52  
