-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::avg_pool2d_o...         0.00%       0.000us         0.00%       0.000us       0.000us     333.920us         1.52%     333.920us      66.784us             5  
      autograd::engine::evaluate_function: MulBackward0         0.21%      45.499us         0.77%     164.166us      27.361us       0.000us         0.00%     313.536us      52.256us             6  
                                           MulBackward0         0.06%      13.059us         0.55%     118.667us      19.778us       0.000us         0.00%     313.536us      52.256us             6  
void cudnn::engines_precompiled::nhwcToNchwKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us     272.671us         1.24%     272.671us      19.477us            14  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     249.600us         1.13%     249.600us      62.400us             4  
                                               aten::mm         1.49%     319.053us         2.27%     487.300us      24.365us     243.967us         1.11%     245.599us      12.280us            20  
                                           aten::matmul         0.11%      22.820us         2.12%     453.691us      23.878us       0.000us         0.00%     242.463us      12.761us            19  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us     180.704us         0.82%     180.704us      90.352us             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     173.760us         0.79%     173.760us     173.760us             1  
_5x_cudnn_ampere_scudnn_128x64_relu_xregs_large_nn_v...         0.00%       0.000us         0.00%       0.000us       0.000us     139.456us         0.63%     139.456us     139.456us             1  
void cudnn::detail::dgrad_engine<float, 512, 6, 5, 3...         0.00%       0.000us         0.00%       0.000us       0.000us     137.760us         0.63%     137.760us     137.760us             1  
void gemmSN_NN_kernel<float, 256, 4, 2, 8, 4, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us     124.479us         0.57%     124.479us      17.783us             7  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us     106.784us         0.49%     106.784us      53.392us             2  
                        ampere_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      90.112us         0.41%      90.112us       8.192us            11  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      24.736us         0.11%      24.736us       2.249us            11  
void cudnn::winograd::generateWinogradTilesKernel<0,...         0.00%       0.000us         0.00%       0.000us       0.000us      10.432us         0.05%      10.432us       2.608us             4  
                                              aten::sub         0.05%      10.510us         0.07%      15.480us      15.480us      10.304us         0.05%      10.304us      10.304us             1  
                                              aten::sum         0.10%      20.729us         0.15%      32.789us      16.394us       8.384us         0.04%       8.384us       4.192us             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.984us         0.03%       5.984us       2.992us             2  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       5.952us         0.03%       5.952us       0.850us             7  
void cudnn::engines_precompiled::scalePackedTensor_k...         0.00%       0.000us         0.00%       0.000us       0.000us       5.664us         0.03%       5.664us       5.664us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.536us         0.03%       5.536us       5.536us             1  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.376us         0.02%       5.376us       5.376us             1  
                                Activity Buffer Request         0.75%     160.796us         0.75%     160.796us     160.796us       4.832us         0.02%       4.832us       4.832us             1  
                                            aten::clamp         0.05%      10.199us         0.07%      15.179us      15.179us       4.256us         0.02%       4.256us       4.256us             1  
                                             aten::add_         0.04%       7.730us         0.06%      13.870us      13.870us       3.936us         0.02%       3.936us       3.936us             1  
       autograd::engine::evaluate_function: MmBackward0         0.04%       9.020us         0.34%      73.599us      73.599us       0.000us         0.00%       3.136us       3.136us             1  
                                            MmBackward0         0.02%       4.010us         0.30%      64.579us      64.579us       0.000us         0.00%       3.136us       3.136us             1  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       3.136us         0.01%       3.136us       3.136us             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.008us         0.01%       3.008us       3.008us             1  
     autograd::engine::evaluate_function: ReluBackward0         0.03%       5.980us         0.14%      29.319us      29.319us       0.000us         0.00%       2.432us       2.432us             1  
                                          ReluBackward0         0.01%       2.790us         0.11%      23.339us      23.339us       0.000us         0.00%       2.432us       2.432us             1  
