-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         1.17%     245.813us         8.98%       1.892ms     118.237us       0.000us         0.00%       7.755ms     484.699us            16  
                                   ConvolutionBackward0         0.29%      60.720us         7.81%       1.646ms     102.874us       0.000us         0.00%       7.755ms     484.699us            16  
                             aten::convolution_backward         3.28%     690.840us         7.53%       1.585ms      99.079us       6.503ms        29.44%       7.755ms     484.699us            16  
                                           aten::conv2d         0.08%      16.110us         3.05%     643.348us      40.209us       0.000us         0.00%       6.519ms     407.433us            16  
                                      aten::convolution         0.33%      68.610us         2.98%     627.238us      39.202us       0.000us         0.00%       6.519ms     407.433us            16  
                                     aten::_convolution         0.23%      49.289us         2.65%     558.628us      34.914us       0.000us         0.00%       6.519ms     407.433us            16  
                                aten::cudnn_convolution         1.45%     305.063us         2.42%     509.339us      31.834us       6.519ms        29.51%       6.519ms     407.433us            16  
                                            aten::copy_         2.75%     579.478us        69.25%      14.589ms      93.518us       4.052ms        18.34%       4.056ms      26.001us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.519ms        15.93%       3.519ms      54.139us            65  
                                            aten::clone         1.27%     266.845us         9.86%       2.078ms      14.949us       0.000us         0.00%       2.630ms      18.920us           139  
                                       aten::contiguous         0.13%      26.410us         3.54%     746.686us      15.556us       0.000us         0.00%       2.266ms      47.199us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.855ms         8.40%       1.855ms     463.791us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.632ms         7.39%       1.632ms     407.911us             4  
                                               aten::to         0.16%      34.220us        63.74%      13.428ms     706.729us       0.000us         0.00%       1.426ms      75.070us            19  
                                         aten::_to_copy         0.28%      59.148us        63.58%      13.394ms     787.861us       0.000us         0.00%       1.426ms      83.902us            17  
                                              aten::add         1.30%     273.165us         2.04%     429.413us      14.314us       1.396ms         6.32%       1.396ms      46.543us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.329ms         6.02%       1.329ms     332.351us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.321ms         5.98%       1.321ms     440.202us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.289ms         5.83%       1.289ms      24.790us            52  
