-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.66%     142.178us         5.69%       1.219ms      76.200us       0.000us         0.00%       7.800ms     487.483us            16  
                                   ConvolutionBackward0         0.18%      38.788us         5.03%       1.077ms      67.314us       0.000us         0.00%       7.800ms     487.483us            16  
                             aten::convolution_backward         2.09%     447.530us         4.85%       1.038ms      64.889us       6.539ms        29.52%       7.800ms     487.483us            16  
                                           aten::conv2d         0.08%      16.290us         2.99%     639.488us      39.968us       0.000us         0.00%       6.558ms     409.851us            16  
                                      aten::convolution         0.30%      65.000us         2.91%     623.198us      38.950us       0.000us         0.00%       6.558ms     409.851us            16  
                                     aten::_convolution         0.22%      47.549us         2.61%     558.198us      34.887us       0.000us         0.00%       6.558ms     409.851us            16  
                                aten::cudnn_convolution         1.43%     306.593us         2.38%     510.649us      31.916us       6.558ms        29.61%       6.558ms     409.851us            16  
                                            aten::copy_         2.43%     519.989us        76.51%      16.386ms     105.037us       4.067ms        18.36%       4.072ms      26.101us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.534ms        15.96%       3.534ms      54.375us            65  
                                            aten::clone         1.19%     254.935us         8.57%       1.835ms      13.204us       0.000us         0.00%       2.638ms      18.979us           139  
                                       aten::contiguous         0.13%      26.779us         3.53%     755.014us      15.729us       0.000us         0.00%       2.272ms      47.342us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.870ms         8.44%       1.870ms     467.422us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.642ms         7.41%       1.642ms     410.567us             4  
                                               aten::to         0.10%      22.370us        71.59%      15.331ms     806.883us       0.000us         0.00%       1.434ms      75.453us            19  
                                         aten::_to_copy         0.19%      39.879us        71.48%      15.308ms     900.495us       0.000us         0.00%       1.434ms      84.329us            17  
                                              aten::add         1.15%     246.787us         1.80%     384.706us      12.824us       1.386ms         6.26%       1.386ms      46.191us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.337ms         6.04%       1.337ms     334.239us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.334ms         6.02%       1.334ms     444.788us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.290ms         5.83%       1.290ms      24.814us            52  
