-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.63%     138.699us         5.43%       1.187ms      74.207us       0.000us         0.00%       7.728ms     482.975us            16  
                                   ConvolutionBackward0         0.15%      33.569us         4.79%       1.049ms      65.538us       0.000us         0.00%       7.728ms     482.975us            16  
                             aten::convolution_backward         1.97%     430.561us         4.64%       1.015ms      63.440us       6.474ms        29.42%       7.728ms     482.975us            16  
                                           aten::conv2d         0.07%      16.160us         2.95%     645.679us      40.355us       0.000us         0.00%       6.507ms     406.703us            16  
                                      aten::convolution         0.29%      64.368us         2.88%     629.519us      39.345us       0.000us         0.00%       6.507ms     406.703us            16  
                                     aten::_convolution         0.22%      47.450us         2.58%     565.151us      35.322us       0.000us         0.00%       6.507ms     406.703us            16  
                                aten::cudnn_convolution         1.39%     305.133us         2.37%     517.701us      32.356us       6.507ms        29.58%       6.507ms     406.703us            16  
                                            aten::copy_         2.31%     504.673us        77.24%      16.902ms     108.347us       4.046ms        18.39%       4.051ms      25.966us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.517ms        15.99%       3.517ms      54.111us            65  
                                            aten::clone         1.15%     251.325us         9.29%       2.034ms      14.633us       0.000us         0.00%       2.627ms      18.896us           139  
                                       aten::contiguous         0.12%      27.029us         3.41%     746.256us      15.547us       0.000us         0.00%       2.262ms      47.121us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.852ms         8.42%       1.852ms     462.927us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.621ms         7.37%       1.621ms     405.223us             4  
                                               aten::to         0.10%      22.040us        71.59%      15.665ms     824.493us       0.000us         0.00%       1.424ms      74.952us            19  
                                         aten::_to_copy         0.18%      38.799us        71.49%      15.643ms     920.196us       0.000us         0.00%       1.424ms      83.770us            17  
                                              aten::add         1.12%     245.837us         1.75%     383.604us      12.787us       1.378ms         6.26%       1.378ms      45.930us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.320ms         6.00%       1.320ms     330.039us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.319ms         6.00%       1.319ms     439.775us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.298ms         5.90%       1.298ms      24.961us            52  
