-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.60%     151.136us         5.34%       1.345ms      84.056us       0.000us         0.00%       8.278ms     517.406us            16  
                                   ConvolutionBackward0         0.15%      36.610us         4.74%       1.194ms      74.610us       0.000us         0.00%       8.278ms     517.406us            16  
                             aten::convolution_backward         2.03%     511.737us         4.60%       1.157ms      72.322us       6.939ms        29.24%       8.278ms     517.406us            16  
                                           aten::conv2d         0.07%      17.849us         2.96%     745.434us      46.590us       0.000us         0.00%       6.985ms     436.566us            16  
                                      aten::convolution         0.28%      71.630us         2.89%     727.585us      45.474us       0.000us         0.00%       6.985ms     436.566us            16  
                                     aten::_convolution         0.22%      55.190us         2.61%     655.955us      40.997us       0.000us         0.00%       6.985ms     436.566us            16  
                                aten::cudnn_convolution         1.49%     375.422us         2.39%     600.765us      37.548us       6.985ms        29.43%       6.985ms     436.566us            16  
                                            aten::copy_         2.08%     524.256us        77.98%      19.630ms     125.835us       4.675ms        19.70%       4.680ms      29.998us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.735ms        15.74%       3.735ms      57.463us            65  
                                            aten::clone         1.11%     278.836us        13.64%       3.433ms      24.698us       0.000us         0.00%       2.768ms      19.916us           139  
                                       aten::contiguous         0.11%      26.780us         2.95%     743.583us      15.491us       0.000us         0.00%       2.394ms      49.871us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.937ms         8.16%       1.937ms     484.328us             4  
                                               aten::to         0.10%      24.930us        67.76%      17.056ms     897.663us       0.000us         0.00%       1.911ms     100.600us            19  
                                         aten::_to_copy         0.17%      43.850us        67.66%      17.031ms       1.002ms       0.000us         0.00%       1.911ms     112.435us            17  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.769ms         7.45%       1.769ms     442.232us             4  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.445ms         6.09%       1.445ms     361.168us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.433ms         6.04%       1.433ms     477.749us             3  
                                              aten::add         1.00%     251.679us         1.56%     392.347us      13.078us       1.396ms         5.88%       1.396ms      46.529us            30  
