-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.68%     145.167us         5.79%       1.243ms      77.674us       0.000us         0.00%       7.762ms     485.117us            16  
                                   ConvolutionBackward0         0.16%      34.920us         5.12%       1.098ms      68.601us       0.000us         0.00%       7.762ms     485.117us            16  
                             aten::convolution_backward         2.13%     456.093us         4.95%       1.063ms      66.418us       6.504ms        29.54%       7.762ms     485.117us            16  
                                           aten::conv2d         0.08%      16.580us         2.99%     640.598us      40.037us       0.000us         0.00%       6.500ms     406.230us            16  
                                      aten::convolution         0.30%      63.848us         2.91%     624.018us      39.001us       0.000us         0.00%       6.500ms     406.230us            16  
                                     aten::_convolution         0.22%      47.949us         2.61%     560.170us      35.011us       0.000us         0.00%       6.500ms     406.230us            16  
                                aten::cudnn_convolution         1.41%     303.208us         2.39%     512.221us      32.014us       6.500ms        29.52%       6.500ms     406.230us            16  
                                            aten::copy_         2.41%     517.811us        76.30%      16.369ms     104.930us       4.035ms        18.33%       4.040ms      25.896us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.509ms        15.94%       3.509ms      53.989us            65  
                                            aten::clone         1.18%     252.382us         9.51%       2.040ms      14.675us       0.000us         0.00%       2.613ms      18.802us           139  
                                       aten::contiguous         0.12%      26.429us         3.46%     741.677us      15.452us       0.000us         0.00%       2.250ms      46.867us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.851ms         8.41%       1.851ms     462.863us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.630ms         7.41%       1.630ms     407.615us             4  
                                               aten::to         0.11%      23.169us        70.43%      15.111ms     795.312us       0.000us         0.00%       1.426ms      75.065us            19  
                                         aten::_to_copy         0.19%      40.519us        70.33%      15.088ms     887.515us       0.000us         0.00%       1.426ms      83.896us            17  
                                              aten::add         1.17%     251.794us         1.82%     389.823us      12.994us       1.378ms         6.26%       1.378ms      45.950us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.330ms         6.04%       1.330ms     332.447us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.321ms         6.00%       1.321ms     440.213us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.293ms         5.87%       1.293ms      24.864us            52  
