-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.68%     145.626us         6.02%       1.284ms      80.251us       0.000us         0.00%       7.710ms     481.897us            16  
                                   ConvolutionBackward0         0.16%      35.100us         5.34%       1.138ms      71.149us       0.000us         0.00%       7.710ms     481.897us            16  
                             aten::convolution_backward         2.21%     471.780us         5.17%       1.103ms      68.956us       6.462ms        29.52%       7.710ms     481.897us            16  
                                           aten::conv2d         0.07%      15.929us         2.97%     634.017us      39.626us       0.000us         0.00%       6.455ms     403.421us            16  
                                      aten::convolution         0.32%      68.139us         2.90%     618.088us      38.631us       0.000us         0.00%       6.455ms     403.421us            16  
                                     aten::_convolution         0.22%      46.598us         2.58%     549.949us      34.372us       0.000us         0.00%       6.455ms     403.421us            16  
                                aten::cudnn_convolution         1.40%     299.395us         2.36%     503.351us      31.459us       6.455ms        29.48%       6.455ms     403.421us            16  
                                            aten::copy_         2.37%     506.270us        76.19%      16.251ms     104.172us       4.017ms        18.35%       4.022ms      25.783us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.490ms        15.94%       3.490ms      53.687us            65  
                                            aten::clone         1.18%     252.033us         9.38%       2.002ms      14.399us       0.000us         0.00%       2.604ms      18.735us           139  
                                       aten::contiguous         0.13%      26.760us         3.41%     728.224us      15.171us       0.000us         0.00%       2.239ms      46.652us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.847ms         8.44%       1.847ms     461.727us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.620ms         7.40%       1.620ms     405.031us             4  
                                               aten::to         0.11%      23.719us        70.43%      15.023ms     790.667us       0.000us         0.00%       1.418ms      74.626us            19  
                                         aten::_to_copy         0.19%      40.570us        70.32%      14.999ms     882.291us       0.000us         0.00%       1.418ms      83.405us            17  
                                              aten::add         1.15%     244.985us         1.80%     383.003us      12.767us       1.380ms         6.30%       1.380ms      45.991us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.319ms         6.02%       1.319ms     329.703us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.311ms         5.99%       1.311ms     436.981us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.284ms         5.87%       1.284ms      24.698us            52  
