-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.66%     141.417us         5.65%       1.219ms      76.176us       0.000us         0.00%       7.791ms     486.951us            16  
                                   ConvolutionBackward0         0.20%      42.228us         4.99%       1.077ms      67.338us       0.000us         0.00%       7.791ms     486.951us            16  
                             aten::convolution_backward         2.05%     443.292us         4.80%       1.035ms      64.699us       6.533ms        29.59%       7.791ms     486.951us            16  
                                           aten::conv2d         0.08%      16.260us         2.98%     642.029us      40.127us       0.000us         0.00%       6.517ms     407.323us            16  
                                      aten::convolution         0.31%      66.059us         2.90%     625.769us      39.111us       0.000us         0.00%       6.517ms     407.323us            16  
                                     aten::_convolution         0.22%      47.140us         2.59%     559.710us      34.982us       0.000us         0.00%       6.517ms     407.323us            16  
                                aten::cudnn_convolution         1.42%     306.356us         2.38%     512.570us      32.036us       6.517ms        29.52%       6.517ms     407.323us            16  
                                            aten::copy_         2.40%     516.858us        76.50%      16.505ms     105.802us       4.054ms        18.36%       4.059ms      26.018us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.525ms        15.96%       3.525ms      54.228us            65  
                                            aten::clone         1.20%     259.483us         9.52%       2.055ms      14.782us       0.000us         0.00%       2.634ms      18.947us           139  
                                       aten::contiguous         0.12%      26.819us         3.46%     746.108us      15.544us       0.000us         0.00%       2.265ms      47.196us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.874ms         8.49%       1.874ms     468.471us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.633ms         7.40%       1.633ms     408.343us             4  
                                               aten::to         0.10%      22.180us        70.64%      15.241ms     802.180us       0.000us         0.00%       1.425ms      75.010us            19  
                                         aten::_to_copy         0.19%      40.060us        70.54%      15.219ms     895.249us       0.000us         0.00%       1.425ms      83.834us            17  
                                              aten::add         1.15%     247.784us         1.79%     386.163us      12.872us       1.379ms         6.25%       1.379ms      45.965us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.335ms         6.05%       1.335ms     333.727us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.324ms         6.00%       1.324ms     441.322us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.288ms         5.83%       1.288ms      24.766us            52  
