-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: ConvolutionBack...         0.65%     140.915us         5.41%       1.167ms      72.922us       0.000us         0.00%       7.732ms     483.263us            16  
                                   ConvolutionBackward0         0.15%      32.409us         4.76%       1.026ms      64.114us       0.000us         0.00%       7.732ms     483.263us            16  
                             aten::convolution_backward         1.96%     423.046us         4.61%     993.422us      62.089us       6.480ms        29.42%       7.732ms     483.263us            16  
                                           aten::conv2d         0.08%      17.370us         2.95%     635.437us      39.715us       0.000us         0.00%       6.501ms     406.339us            16  
                                      aten::convolution         0.30%      64.549us         2.87%     618.067us      38.629us       0.000us         0.00%       6.501ms     406.339us            16  
                                     aten::_convolution         0.22%      47.929us         2.57%     553.518us      34.595us       0.000us         0.00%       6.501ms     406.339us            16  
                                aten::cudnn_convolution         1.41%     304.003us         2.35%     505.589us      31.599us       6.501ms        29.51%       6.501ms     406.339us            16  
                                            aten::copy_         2.33%     501.979us        77.19%      16.635ms     106.637us       4.050ms        18.38%       4.054ms      25.989us           156  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.522ms        15.99%       3.522ms      54.192us            65  
                                            aten::clone         1.19%     255.975us         9.39%       2.023ms      14.557us       0.000us         0.00%       2.634ms      18.947us           139  
                                       aten::contiguous         0.12%      26.400us         3.43%     738.525us      15.386us       0.000us         0.00%       2.269ms      47.264us            48  
_5x_cudnn_ampere_scudnn_winograd_128x128_ldg1_ldg4_r...         0.00%       0.000us         0.00%       0.000us       0.000us       1.858ms         8.43%       1.858ms     464.447us             4  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.619ms         7.35%       1.619ms     404.815us             4  
                                               aten::to         0.10%      22.540us        71.49%      15.406ms     810.828us       0.000us         0.00%       1.421ms      74.772us            19  
                                         aten::_to_copy         0.18%      37.930us        71.38%      15.383ms     904.894us       0.000us         0.00%       1.421ms      83.569us            17  
                                              aten::add         1.12%     242.216us         1.75%     376.352us      12.545us       1.388ms         6.30%       1.388ms      46.254us            30  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us       1.322ms         6.00%       1.322ms     330.527us             4  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       1.322ms         6.00%       1.322ms     440.565us             3  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       1.288ms         5.85%       1.288ms      24.771us            52  
